Unique identifier	Type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
3dGraffiti	concept	3D (graffiti)	letterformComponents	Concept	style	3D $$ three-dimensional (graffiti) $$ three dimensional (graffiti) $$ 3d	"""3D (graffiti)"" refers to a style of graffiti that employs techniques such as shading, highlights, and perspective to give the illusion of three-dimensionality to the text, characters, or abstract motifs in a graffito. This style is designed to make the graffiti appear as if it is popping out from the surface, adding depth and a sense of realism to the work. The use of 3D techniques in graffiti showcases the technical skill and creativity of the graffitist, and contributes to the visual impact and aesthetic appeal of the work. As with all styles of graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q34929	broadMatch		blocksGraffiti
abstractStyleGraffiti	concept	abstract style (graffiti)	stylesStreetArt	Concept	style	abstract $$ Abstract style $$ Abstract Style $$ abstract (style) $$ abstract (graffiti)	"""Abstract Style (graffiti)"" refers to a style of graffiti that, while possibly inspired by the abstract art movement, is distinct and unique in its own right. This style is characterised by the use of non-representational or non-objective elements, focusing on the visual qualities such as colours, shapes, and lines rather than attempting to depict a recognisable reality. The abstract style in graffiti allows for a high degree of creative freedom and experimentation, and can be used to create visually striking and thought-provoking works. As with all styles of graffiti, it should be understood within its specific cultural and aesthetic context."	Jona Schlegel $$ Stefan Worgin						"http://vocab.getty.edu/aat/300108127
"	broadMatch	https://www.wikidata.org/wiki/Q333357	broadMatch		
accidentalSurfaceCoveringProcessesGT	guide term	accidental surface covering processes <guide term>	additiveAndJoiningProcessesAndTechniquesGT	Concept			This is one of the few guide terms, that is specifically created for project INDIGO/ the graffiti thesaurus and therefore can not be found in the Getty AAT.	Jona Schlegel $$ Stefan Worgin											
ActivitiesF	facet	Activities <facet>		Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""Includes terms for areas of endeavor, physical and mental actions, discrete occurrences, systematic sequences of actions, methods employed toward a certain end, and processes occurring in materials or objects classified as visual works. Activities may range from branches of learning and professional fields to specific life events, from mentally executed tasks to processes performed on or with materials and objects, from single physical actions to complex games. Examples: archaeology, engineering, analyzing, contests, exhibitions, running, drawing (image-making), corrosion."" (The J. Paul Getty Trust. �Activities Facet�)"			http://vocab.getty.edu/aat/300264090	exactMatch			The J. Paul Getty Trust. �Activities Facet�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300264090.	
activity	collection	activity		Collection			"The ""activity"" collection forms a cornerstone of the graffiti thesaurus, serving as a foundational category that encapsulates the diverse actions and processes integral to graffiti creation and appreciation. As a top-level concept, it stands independently, not falling under any broader category. The term ""activity"", within the graffiti context, is a broad umbrella under which specific actions contributing to the creation, distribution, or appreciation of graffiti reside. This includes techniques such as ""bombing"", ""scratching"", or ""spraying"". Each of these can be considered as a narrower concept, further refining the understanding of what constitutes an ""activity"" in the world of graffiti."	Jona Schlegel $$ Stefan Worgin					"Examples of the ""activity"" collection bring to life the various processes involved in graffiti creation. ""Bombing"" represents a swift, expansive approach, where a graffitist covers a large area with quick, often simple, graffiti. ""Scratching"" provides a contrast, with the graffitist etching a design into a surface using a sharp object, creating a different kind of visual impact. Lastly, ""spraying"" exemplifies a common graffiti technique, where aerosol paint cans are used to apply paint in a controlled manner, crafting the graffito on the chosen surface."						
additiveAndJoiningProcessesAndTechniquesGT	guide term	additive and joining processes and techniques <guide term>	processesAndTechniquesBySpecificTypeGT	Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel						http://vocab.getty.edu/aat/300229467	exactMatch				
AgentsF	facet	Agents <facet>		Concept			Contains information from the J. Paul Getty Trust, Getty Research Institute, the Art & Architecture Thesaurus, which is made available under the ODC Attribution License.	Jona Schlegel			"""This facet includes generic terms, dates, relationships, and other information related to or required to catalog, discover, and retrieve information about art, architecture, and other visual cultural heritage, including related disciplines dealing with visual works, such as archaeology and conservation, where the works are of the type collected by art museums and repositories for visual cultural heritage, or that are architecture. Used for work types, roles, materials, styles, cultures, techniques, subject, etc., so long as terms fit into established AAT facets. Examples: printmakers, landscape architects, corporations, religious orders. Also includes other living organisms, as necessary for the art and architecture domain."" (The J. Paul Getty Trust. �Agents Facet�)"			http://vocab.getty.edu/aat/300264089	exactMatch			The J. Paul Getty Trust. �Agents Facet�, Art & Architecture Thesaurus Full Record Display (Getty Research), 25 January 2021. [Date of Access, 1 Aug. 2023]. http://vocab.getty.edu/aat/300264089.	
anarchySymbols	concept	anarchy symbols	motifs	Concept	signAndElement	Anarchy sign $$ anarchy symbol $$ symbol, anarchy $$ anarchy sign $$ sign, anarchy	"The ""anarchy symbols"" in graffiti represent a motif that can be created as an independent symbol or connected to a slogan or word. These symbols are often used to express anti-establishment sentiments or to challenge societal norms and structures. They are a part of the visual language of graffiti, conveying specific meanings and messages within the context of the graffiti culture. As with all motifs in graffiti, the interpretation of anarchy symbols can vary depending on the context in which they are used."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q31895	relatedMatch		
antiStyleGraffiti	concept	anti style (graffiti)	stylesStreetArt	Concept	style	Anti style $$ Anti Style $$ Ugly Style $$ ugly style $$ Ugly style $$ anti-style	"The ""anti style (graffiti)"" refers to a specific form of graffiti writing style that intentionally defies the conventional aesthetics and norms of graffiti. This style is often characterised by its raw, unpolished, and seemingly amateurish appearance, which is a deliberate choice by the graffitist. The anti style can be seen as a form of rebellion not only against societal norms but also against the established rules and standards within the graffiti community itself. It serves as a reminder that graffiti is, at its core, an act of defiance and individual expression."	Jona Schlegel $$ Stefan Worgin											
arrowsLetterAttribute	concept	arrows (letter attribute)	letterformComponents	Concept		arrow (letter attribute)	"The concept ""arrows (letter attribute)"" in graffiti refers to the stylistic element where the endings of a letter are shaped as arrows. This is a common feature in many graffiti styles and serves to add dynamism and directionality to the piece. Arrows can be simple or complex, and their design can vary greatly depending on the individual style of the graffitist. They can be used to guide the viewer's eye, create a sense of movement, or add an additional layer of complexity to the piece."	Jona Schlegel $$ Stefan Worgin											
