Unique identifier,Getty AAT type,skos:prefLabel @en,skos:broader,rdf:type (skos:),skos:member,skos:altLabel @en,skos:editorialNote @en ,skos:note @en (getty),skos:note @en,external concept (getty),"type of match (getty) (skos:exactMatch, skos:closeMatch, skos:broadMatch, skos:narrowMatch, skos:relatedMatch)",external concept (wikidata),"type of match (wikidata) (skos:exactMatch, skos:closeMatch, skos:broadMatch, skos:narrowMatch, skos:relatedMatch)",dct:source,skos:example @en,skos:related
atSignsMotif,concept,@ signs (motif),motifs,Concept,signAndElement,at-sign $$ at $$ @ $$ at-signs $$ @ sign $$ @-signs $$ @-sign,"Only if the @sign shows up as an individual symbol, this also could be put here",,"The at-sign (@) is a symbol that is often used as a motif in graffiti. It can be used in a variety of ways by graffitists, depending on their intention. For example, the at-sign could be used to create a tag, such as ""@K-Rimes"" or ""@Jaz,"" which is a signature or identity used by the graffitist. The at-sign could also be used to create a message or slogan, such as ""@Peace"" or ""@Love.""

In terms of its visual appearance, the at-sign could be used in a graffiti piece in many different ways by graffitists. It could be rendered in a simple, straightforward manner, using clean lines and basic colors. Alternatively, it could be incorporated into a more complex design, using different colors, shapes, and styles to create visual interest.",,,https://www.wikidata.org/wiki/Q10714,skos:exactMatch,,"One example of how the at-sign could be used as a motif in graffiti by a graffitist is to create a portrait or figure using the symbol. For example, a graffitist could use the at-sign to create the outline of a face, with the symbol repeated over and over to fill in the features and create the desired effect. The at-sign could also be used to create other elements of the portrait, such as the hair, clothing, or background.",
3dGraffiti,concept,3D (graffiti),letterformComponents,Concept,style,3D $$ three-dimensional (graffiti) $$ three dimensional (graffiti) $$ 3d,"- can be a shading of the letters, but can be a block to the letters
- allows the writing to be seen in a three-dimensional
- I guess it could be also related to street art
- it a component that makes the writing appear 3D",,"In the graffiti community, the term ""3D"" typically refers to the use of three-dimensional effects or techniques in a graffiti piece. This could include the use of shading, highlighting, or other techniques to create the illusion of depth or volume within the piece. Graffitist often use 3D techniques to add realism, dynamism, and visual interest to their works.",,,https://www.wikidata.org/wiki/Q34929,skos:broadMatch,,"For example, a graffitists might use 3D techniques to create the illusion of a three-dimensional object within their piece, such as a ball, a box, or a car. The artist could use shading and highlighting to give the object a sense of depth and volume, making it appear more realistic and lifelike.

",blocksGraffiti
abstractStyleGraffiti,concept,abstract style (graffiti),stylesStreetArt,Concept,style,abstract $$ Abstract style $$ Abstract Style $$ abstract (style) $$ abstract (graffiti),"[Street Art styles]
- is not the same as the abstract art form
- also as the problem is, that the abstract art  in the Getty AAT is located in the branch of art forms. Would be good to have a discussion here

Question here: is it a Capital Letter at the styles always?

STYLES in general, where would we put them, as some could be both writing and street art
And it might be difficult to put the styles in the geographical locations",,"The term ""abstract"" in the context of graffiti refers to a style of art that is characterized by the use of geometric shapes, patterns, and colors to create compositions that do not represent recognizable objects or figures. Graffitists who use an abstract style often aim to create works that are visually striking, dynamic, and open to interpretation.

To create an abstract graffiti piece, a graffitist might use a variety of techniques, such as overlapping shapes, color blending, and repetition of patterns. The graffitist might also incorporate elements of surrealism, cubism, or other artistic styles to add complexity and interest to the work.","http://vocab.getty.edu/page/aat/300108127
",broadMatch,https://www.wikidata.org/wiki/Q333357,skos:broadMatch,,"An example of an abstract graffiti piece is a composition that uses geometric shapes, such as circles, triangles, and squares, in a variety of colors and patterns. The graffitist might use overlapping and interlocking shapes to create a sense of movement and dynamism within the piece. The composition could also incorporate elements of symmetry, repetition, and variation to add visual interest and complexity.",
accidentalSurfaceCoveringProcessesGT,guide term,accidential surface covering processes <guide term>,additiveAndJoiningProcessesAndTechniquesGT,Concept,,,,,,,,,,,,
ActivitiesF,facet,Activities <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
activity,collection,activity,,Collection,,,,,,,,,,,,
additiveAndJoiningProcessesAndTechniquesGT,guide term,additive and joining processes and techniques <guide term>,processesAndTechniquesBySpecificTypeGT,Concept,,,,,,,,,,,,
AgentsF,facet,Agents <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
anarchySymbols,concept,anarchy symbols,motifs,Concept,signAndElement,Anarchy sign $$ anarchy symbol,"- a motif
- can be independent, but also connected to other messagaes",,"The term ""anarchy symbol"" in the context of graffiti refers to a visual symbol that is often used by graffitists to express anarchist or anti-establishment ideas. The most common form of the anarchy symbol is a circle with a ""A"" inside, but other variations also exist.

To create an anarchy symbol graffiti piece, a graffitist might use a variety of techniques, such as stenciling, spray paint, or markers. The graffitist might also incorporate elements of other symbols or imagery, such as the peace sign or the skull and crossbones, to add complexity and meaning to the work.",,,https://www.wikidata.org/wiki/Q31895,skos:relatedMatch,,"An example of an anarchy symbol graffiti piece is a composition that uses the circle with the ""A"" inside to create a bold, eye-catching design. The graffitist might use a variety of colors and styles, such as gradient effects or 3D shading, to add visual interest to the piece. The composition could also incorporate other symbols or imagery, such as the peace sign or the skull and crossbones, to add additional meaning and context to the work.",
antiStyleGraffiti,concept,anti style (graffiti),stylesStreetArt,Concept,style,Anti style $$ Anti Style $$ Ugly Style $$ ugly style $$ Ugly style,"[Writing styles]
- is a graffito (more like writing) style
- styling of words etc
We would suggest add all styles (graffiti, verbal, symbolic and street art) under this branch, and add a new hierarchical term for all the four elements. But does this actually make sense? This needs to be discussed!",,"The term ""anti style"" in the context of graffiti refers to a deliberately unfinished, rough, or chaotic approach to creating graffiti. Graffitists who use an anti style often aim to create works that are raw, spontaneous, and free from the constraints of traditional graffiti techniques.

To create an anti style graffiti piece, a graffitist might use a variety of techniques, such as sketchy lines, messy drips, and distorted shapes. The graffitist might also incorporate elements of chance, randomness, and accident into their work, to create a sense of unpredictability and spontaneity. Overall, the anti style is a unique and challenging approach to graffiti, and can be used by graffitists to create works that are raw, spontaneous, and free from the constraints of traditional techniques.",,,,,,"An example of an anti style graffiti piece is a composition that uses sketchy lines, distorted shapes, and messy drips to create a chaotic, unplanned effect. The graffitist might use a variety of colors, but without any clear organization or pattern. The composition could also incorporate elements of randomness, such as drips or splatters that appear to have been applied accidentally or spontaneously.",
