Unique identifier;Getty AAT type;skos:prefLabel @en;skos:broader;rdf:type (skos:);skos:member;skos:altLabel @en;"skos:editorialNote @en ";skos:note @en (getty);skos:definition @en;skos:example @en;external concept (getty);type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch);external concept (wikidata);type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch);dct:source;skos:related
3dGraffiti;concept;3D (graffiti);letterformComponents;Concept;style;3D $$ three-dimensional (graffiti) $$ three dimensional (graffiti) $$ 3d;"This concept describes a text, character or abstract motive that makes the graffiti appear three-dimensional (3D). This can be done in the form of using shading, highlights (so basically light and shadow) or perspective (like block letters) in the creation of the graffito.";;;;;;https://www.wikidata.org/wiki/Q34929;broadMatch;;blocksGraffiti
abstractStyleGraffiti;concept;abstract style (graffiti);stylesStreetArt;Concept;style;abstract $$ Abstract style $$ Abstract Style $$ abstract (style) $$ abstract (graffiti);"This concept is not the same as the abstract art form, but one could say it is inspired by it.";-;;;"http://vocab.getty.edu/page/aat/300108127
";broadMatch;https://www.wikidata.org/wiki/Q333357;broadMatch;;
componentPart;collection;component part;;Collection;graffitoComponent;;;;;;;;;;;
conceptIdea;collection;concept idea;;Collection;graffitoComponent;;;;;;;;;;;
design;collection;design;;Collection;graffitoComponent;;;;;;;;;;;
accidentalSurfaceCoveringProcessesGT;guide term;accidental surface covering processes <guide term>;additiveAndJoiningProcessesAndTechniquesGT;Concept;;;"This is one of the few guide terms, that is specifically created for project INDIGO/ the graffiti thesaurus and therefore can not be found in the Getty AAT.";;;;;;;;;
ActivitiesF;facet;Activities <facet>;;Concept;;;;Includes terms for areas of endeavor, physical and mental actions, discrete occurrences, systematic sequences of actions, methods employed toward a certain end, and processes occurring in materials or objects classified as visual works. Activities may range from branches of learning and professional fields to specific life events, from mentally executed tasks to processes performed on or with materials and objects, from single physical actions to complex games. Examples: archaeology, engineering, analyzing, contests, exhibitions, running, drawing (image-making), corrosion.;;;http://vocab.getty.edu/page/aat/300264090;exactMatch;;;;
activity;collection;activity;;Collection;;;;;;;;;;;;
additiveAndJoiningProcessesAndTechniquesGT;guide term;additive and joining processes and techniques <guide term>;processesAndTechniquesBySpecificTypeGT;Concept;;;"A guide term used in the Getty AAT to structure the thesaurus more.";-;;;http://vocab.getty.edu/page/aat/300229467;exactMatch;;;;
AgentsF;facet;Agents <facet>;;Concept;;;;This facet includes generic terms, dates, relationships, and other information related to or required to catalog, discover, and retrieve information about art, architecture, and other visual cultural heritage, including related disciplines dealing with visual works, such as archaeology and conservation, where the works are of the type collected by art museums and repositories for visual cultural heritage, or that are architecture. Used for work types, roles, materials, styles, cultures, techniques, subject, etc., so long as terms fit into established AAT facets. Examples: printmakers, landscape architects, corporations, religious orders. Also includes other living organisms, as necessary for the art and architecture domain.;;;http://vocab.getty.edu/page/aat/300264089;exactMatch;;;;
anarchySymbols;concept;anarchy symbols;motifs;Concept;signAndElement;Anarchy sign $$ anarchy symbol;"This concept represents a motif and can be created as an indipendent symbol or also connected to a slogan or word.";;;;;;https://www.wikidata.org/wiki/Q31895;relatedMatch;;
antiStyleGraffiti;concept;anti style (graffiti);stylesStreetArt;Concept;style;Anti style $$ Anti Style $$ Ugly Style $$ ugly style $$ Ugly style;"This is a specific form of a graffiti writing style.";;;;;;;;;
arrowsLetterAttribute;concept;arrows (letter attribute);letterformComponents;Concept;;arrow (letter attribute);"This concept describes if the endings of a letter are shapes as arrows.";;;;;;;;;
